N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation,Individual Views
138,100,3,3,0.000445843,0.008927794,3.472375631,1.359190941,0.050266743,0.001282248,0.001061916,0.85605216
139,100,3,3,0.00078702,0.009045863,2.796088457,1.075480461,0.05933094,0.001463044,0.00101757,0.890017271
140,100,3,3,0.000717402,0.010231917,2.934299707,1.114355326,0.056503057,0.001687455,0.000794888,0.865010977
141,100,3,3,0.000440121,0.009098406,2.767426014,1.040989876,0.05154109,0.001300683,0.00083375,0.887122154
142,100,3,3,0.000449181,0.008987367,2.798597336,1.142148018,0.058357,0.001488638,0.000791788,0.844614983
143,100,3,3,0.000455141,0.008848639,2.912929773,1.078803301,0.059924126,0.001323547,0.001112223,0.903424263
144,100,3,3,0.000454426,0.010112386,2.775753498,1.065267801,0.059314966,0.001655726,0.00084734,0.867635489
145,100,3,3,0.000459671,0.008968537,2.843156099,1.082839251,0.054224253,0.001298048,0.000813246,0.890756845
146,100,3,3,0.000452757,0.008809092,2.804171801,1.036726713,0.059313059,0.001454091,0.000791311,0.845939636
147,100,3,3,0.000535965,0.009136484,2.79480052,1.167434216,0.065204382,0.001560123,0.000851154,0.889278889
148,100,3,3,0.000491619,0.00913795,2.717401743,1.16455555,0.060730696,0.001347592,0.000970364,0.850681543
149,100,3,3,0.000437737,0.009056041,2.733258963,1.063701391,0.051762819,0.001302245,0.000787735,0.863720417
150,100,3,3,0.000463009,0.009388492,3.02136898,1.083371401,0.053460121,0.001330178,0.000805855,0.858191729
151,100,3,3,0.000486612,0.008990252,2.742707491,1.04102993,0.051899195,0.001306186,0.000788212,0.863862991
152,100,3,3,0.000454426,0.010343549,3.024695158,1.120656013,0.067338943,0.001387737,0.000884771,0.871137619
153,100,3,3,0.000471115,0.009226291,2.818072081,1.248189449,0.05600071,0.001350982,0.000851631,0.90739584
154,100,3,3,0.000482798,0.00925236,2.796591997,1.436579943,0.112724543,0.003342695,0.000794172,1.110576153
155,100,3,3,0.000484943,0.009282095,2.895239115,1.050830126,0.052423716,0.001307814,0.001111269,0.984585762
156,100,3,3,0.000668764,0.011693258,2.903601646,1.130610943,0.06242466,0.001423092,0.000869513,0.91711092
157,100,3,3,0.000468969,0.00954138,2.956417084,1.403871298,0.067705393,0.001637237,0.001018286,0.970559359
158,100,3,3,0.000487328,0.010575194,4.118612051,1.207904577,0.051771164,0.001281815,0.000796795,0.847129822
159,100,3,3,0.000517607,0.008807154,2.697666407,1.030606508,0.051908493,0.001348772,0.00078702,0.83829999
160,100,3,3,0.000442982,0.008785143,2.850891829,1.296601295,0.050595999,0.001270061,0.000788212,0.839662552
161,100,3,3,0.000439167,0.008759489,2.715005636,1.068457842,0.051410675,0.001280963,0.000787258,0.852119207
162,100,3,3,0.00045085,0.008679497,2.667663097,1.040225267,0.056741953,0.001415279,0.000983238,0.923274755
163,100,3,3,0.001261711,0.010587032,2.740377665,1.022945881,0.050964832,0.001290495,0.000788212,0.842071056
164,100,3,3,0.000770807,0.008746336,2.765630484,1.671862125,0.095923901,0.001333969,0.001449823,1.001874447
165,100,3,3,0.001621962,0.011925635,3.677321911,1.949534655,0.055202961,0.002457831,0.001224041,1.158912897
166,100,3,3,0.000461578,0.009981983,2.752899408,1.033061028,0.051385164,0.001514187,0.000786304,0.883705378
167,100,3,3,0.000468969,0.008802466,2.717138052,1.023626804,0.051373482,0.001295488,0.000801086,0.845767498
168,100,3,3,0.000459194,0.008659704,3.114453077,1.025210381,0.052304029,0.001318078,0.000797033,0.851556301
169,100,3,3,0.000444651,0.008729861,2.699809313,1.031631231,0.051752567,0.001298873,0.000779867,0.846613169
170,100,3,3,0.000553846,0.008624597,2.679037809,1.033064842,0.051555157,0.001289079,0.000798702,0.850973845
171,100,3,3,0.000435829,0.008787572,2.674304485,1.026701927,0.061131954,0.001429186,0.000834942,0.831342936
172,100,3,3,0.000442266,0.008839374,2.707334042,1.016826153,0.05213213,0.001315529,0.000790596,0.848363876
173,100,3,3,0.000449419,0.008760302,2.716846228,1.13362813,0.051422119,0.001279054,0.00103116,0.854110479
174,100,3,3,0.000487804,0.008695569,2.688561916,1.039619446,0.05474925,0.00130199,0.00079155,0.846384287
175,100,3,3,0.000444412,0.008923724,2.684305429,1.031784773,0.058962107,0.001383874,0.000834942,0.842455626
176,100,3,3,0.000461578,0.008855922,2.700327396,1.01907444,0.052387238,0.001312711,0.000795603,0.838860035
177,100,3,3,0.000436306,0.008801038,2.705534458,1.024891615,0.051285982,0.001286221,0.000799417,0.841996431
178,100,3,3,0.000459433,0.008793521,2.688225269,1.021266699,0.051025152,0.001292958,0.000786543,0.847260714
179,100,3,3,0.000451088,0.008766661,2.683497906,1.02415061,0.053739548,0.001407194,0.001420021,0.843324661
180,100,3,3,0.000456572,0.008802016,2.815010309,1.414685965,0.052433968,0.001306467,0.000784397,0.91082859
181,100,3,3,0.000442505,0.008841317,5.027415514,1.122833252,0.052814007,0.001320536,0.000795841,0.85814929
182,100,3,3,0.000468493,0.008897877,2.691955328,1.021788836,0.052489519,0.001303999,0.000789404,0.876538754
183,100,3,3,0.0004673,0.00896229,2.685638905,1.031067848,0.055515051,0.001373031,0.000922203,0.836403131
184,100,3,3,0.000444651,0.008744025,2.674538851,1.008009434,0.056180954,0.00129992,0.000840902,0.837328672
185,100,3,3,0.00045085,0.008967755,3.306682587,1.300982952,0.053219557,0.001315806,0.000787973,0.852242708
186,100,3,3,0.000456572,0.008897979,2.73441267,1.058124542,0.051604509,0.001276219,0.000786781,0.860320568
187,100,3,3,0.000449419,0.008836195,2.919390917,1.03510499,0.059520245,0.001386733,0.00080204,0.840697289
188,100,3,3,0.000483036,0.009386616,2.683080673,1.016298294,0.051083565,0.001294725,0.000792742,0.845384836
189,100,3,3,0.000454187,0.008850267,2.70790267,1.112769127,0.052201033,0.00129045,0.000783682,0.852115393
190,100,3,3,0.00044632,0.008677137,2.682926893,1.017016649,0.051556826,0.001344986,0.000788212,0.839150667
191,100,3,3,0.000500441,0.008811543,2.686702728,1.027646065,0.057811499,0.001319385,0.000793934,0.845465899
192,100,3,3,0.000462055,0.008770316,2.695002079,1.393017292,0.051742792,0.001293011,0.000819921,0.841607332
193,100,3,3,0.000445604,0.008712752,2.676767588,1.027846336,0.053264856,0.001387076,0.000781536,0.82488203
194,100,3,3,0.000450611,0.008794317,2.696145535,1.017661095,0.054539204,0.001330674,0.001395941,0.846982479
195,100,3,3,0.000459194,0.008976717,2.69824934,1.025132656,0.051334143,0.001301763,0.000786304,0.861480713
196,100,3,3,0.00045681,0.008889651,2.7064569,1.025897503,0.052639008,0.001313937,0.000796318,0.848542452
197,100,3,3,0.000485182,0.008611977,2.713552475,1.030549049,0.052860737,0.001466644,0.000783682,0.840688705
198,100,3,3,0.000453711,0.008825428,2.919198751,1.026520729,0.052279949,0.001299336,0.000783682,0.835152388
199,100,3,3,0.000480175,0.008875935,2.69812727,1.03486681,0.055145025,0.001316395,0.000782967,0.844382048
200,100,3,3,0.000489473,0.008784075,2.680323839,1.01477623,0.065312624,0.001969109,0.000796795,0.841524363
201,150,3,3,0.000470877,0.009393805,4.247818232,1.445147038,0.072526217,0.001489606,0.00080061,1.29742837
202,150,3,3,0.000539303,0.008753072,4.23905921,1.432605743,0.078467607,0.001543026,0.000863791,1.304789305
203,150,3,3,0.000503063,0.008815168,4.233538151,1.429288387,0.071717501,0.001567111,0.00079155,1.295924425
204,150,3,3,0.000454187,0.008956691,4.320124865,1.42386055,0.071283817,0.001494646,0.000790119,1.3068645
205,150,3,3,0.000445604,0.008933652,4.321812391,1.478982449,0.07180953,0.001495307,0.000808001,1.33065176
206,150,3,3,0.000442028,0.008845787,4.234516382,1.458120584,0.072242498,0.001462143,0.000870943,1.312527657
207,150,3,3,0.000441313,0.008832536,4.240205288,1.446485519,0.073044777,0.001493862,0.000795364,1.320719481
208,150,3,3,0.000451088,0.008722453,4.22064662,1.444585085,0.081984043,0.001467247,0.000796318,1.29082036
209,150,3,3,0.000458956,0.008829379,4.283856392,1.448463202,0.087006092,0.001576538,0.000797749,1.313709021
210,150,3,3,0.000613451,0.008847523,4.25941062,1.491304398,0.085396528,0.001624999,0.000795364,1.556575298
211,150,3,3,0.000452757,0.008711225,4.253289223,1.495979786,0.081791639,0.001501199,0.000795841,1.305724621
212,150,3,3,0.000442505,0.008757628,4.2800138,1.502410173,0.086942196,0.00155983,0.000799179,1.306959152
213,150,3,3,0.000449896,0.00892621,4.2791152,1.48431778,0.085196733,0.001579798,0.000801563,1.338359118
214,150,3,3,0.00045085,0.008737729,4.199954271,1.726129055,0.085072994,0.001498292,0.000797987,1.328416824
215,150,3,3,0.000457525,0.008743078,4.349584341,1.529410124,0.080477715,0.001503239,0.000790596,1.327036619
216,150,3,3,0.000518799,0.008887881,4.349196672,1.493893385,0.077738047,0.001498799,0.00079608,1.307964563
217,150,3,3,0.000444651,0.008666259,4.252444029,1.499819994,0.08641839,0.0015296,0.000791311,1.295042038
218,150,3,3,0.000436306,0.008794276,4.24273324,1.480952501,0.088788033,0.001601841,0.000785828,1.314198017
219,150,3,3,0.000492096,0.008769046,4.309677362,1.958553553,0.119392872,0.003455472,0.000798225,2.713834047
220,150,3,3,0.00053215,0.009414581,4.303865671,1.480588436,0.078596115,0.001557714,0.000785589,1.32976985
221,150,3,3,0.000455856,0.008829522,4.368504763,1.506650209,0.078319788,0.001617198,0.000794172,1.317973137
222,150,3,3,0.000484943,0.008902213,4.23844099,1.499406338,0.077615738,0.001551312,0.000802279,1.333311796
223,150,3,3,0.001028776,0.010175622,4.366197586,1.528449297,0.08490181,0.001590527,0.000910759,1.302366257
224,150,3,3,0.000448465,0.009055176,5.122813463,1.528981209,0.077624321,0.001575511,0.000797749,1.290396452
225,150,3,3,0.000442982,0.008800526,4.222403526,1.491030931,0.077667475,0.001521769,0.000802279,1.327024937
226,150,3,3,0.000468493,0.009084997,4.329854727,1.509739399,0.078711987,0.001509515,0.000785351,1.308150053
227,150,3,3,0.000455141,0.009032599,4.299742699,1.507089376,0.07961154,0.001522649,0.000802994,1.333850861
228,150,3,3,0.000444412,0.008782066,4.202589035,1.491043806,0.082785845,0.001560818,0.000790834,1.305502415
229,150,3,3,0.00045228,0.008717182,4.205322504,1.487795353,0.077288866,0.001506065,0.000789165,1.287106037
230,150,3,3,0.000453472,0.008706617,4.213690758,1.458847046,0.084563017,0.001543287,0.000802994,1.286835909
231,150,3,3,0.000610352,0.008703566,4.302153826,1.490043163,0.079585791,0.001605426,0.000813007,1.28638339
